plant,factory,vendor,vendor_name,material,material_desc,effective_date[dd/mm/yyyy],avai_capacity,price
1105,F5/F23,201322,LIAN SHUN ENTERPRISE,21000005,WOOD CHIP,01/06/2022,800,133
1105,F5/F23,202610,WMIX ENTERPRISE,21000005,WOOD CHIP,01/06/2022,600,136
1105,F5/F23,201163,KILANG PAPAN JENDELA BARU SDN BHD,21000005,WOOD CHIP,01/06/2022,600,140
1105,F5/F23,203565,TME BIO RESOURCES SDN BHD,21000005,WOOD CHIP,01/06/2022,1000,133
1105,F5/F23,204134,PDTC SDN BHD,21000005,WOOD CHIP,01/06/2022,500,137
1105,F5/F23,206140,PKL WOOD FUEL ENTERPRISE,21000005,WOOD CHIP,01/06/2022,1200,136
1105,F5/F23,203121,K C DURAI SDN BHD,21000005,WOOD CHIP,01/06/2022,600,138
1105,F5/F23,209863,HULK WOODS TRADING SDN BHD,21000005,WOOD CHIP,01/06/2022,1000,137
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000005,WOOD CHIP,01/06/2022,500,135
4027,F27,202388,TOP BIOMASS RESOURCES,21000005,WOOD CHIP,01/06/2022,900,154
4027,F27,202598,WIN M TRADING,21000005,WOOD CHIP,01/06/2022,400,153
4027,F27,202368,TIEN CHUNG TRADING SDN BHD,21000005,WOOD CHIP,01/06/2022,4000,154
4027,F27,206527,VENUS RESOURCES SDN BHD,21000005,WOOD CHIP,01/06/2022,500,155
4027,F27,209671,LEONG HUAT BRICK WORKS SDN BHD,21000005,WOOD CHIP,01/06/2022,1000,150
4027,F27,210813,S&S BIOENERGY ENTERPRISE,21000005,WOOD CHIP,01/06/2022,800,150
4027,F27,201440,MAWAR SAKSAMA (M) SDN BHD,21000005,WOOD CHIP,01/06/2022,300,155
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000005,WOOD CHIP,01/06/2022,300,153
4027,F27,206396,CLASSIC PALM OIL MILL SDN BHD,21000004,PALM KERNEL SHELL,01/06/2022,200,290
4027,F27,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,01/06/2022,300,287
4027,F27,207682,BP REALTY & PLANTATION SDN BHD,21000004,PALM KERNEL SHELL,01/06/2022,300,315
4027,F27,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/06/2022,120,300
4027,F27,202388,TOP BIOMASS RESOURCES,21000096,PKS GRANULE,01/06/2022,150,195
1105,F5/F23,204134,PDTC SDN BHD,21000010,SHORT EFB,01/06/2022,300,40
1105,F5/F23,200906,HK KITARAN SDN BHD,21000010,SHORT EFB,01/06/2022,500,53
1105,F5/F23,206793,MULTI BIO RESOURCES & SUPPLIES,21000010,SHORT EFB,01/06/2022,200,40
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000010,SHORT EFB,01/06/2022,200,40
