plant,factory,vendor,vendor_name,material,material_desc,effective_date[dd/mm/yyyy],avai_capacity,price
1105,F5/F23,201322,LIAN SHUN ENTERPRISE,21000005,WOOD CHIP,01/11/2021,1500,133
1105,F5/F23,202610,WMIX ENTERPRISE,21000005,WOOD CHIP,01/11/2021,600,138
1105,F5/F23,201163,KILANG PAPAN JENDELA BARU SDN BHD,21000005,WOOD CHIP,01/11/2021,1000,140
1105,F5/F23,203565,TME BIO RESOURCES SDN BHD,21000005,WOOD CHIP,01/11/2021,800,138
1105,F5/F23,204134,PDTC SDN BHD,21000005,WOOD CHIP,01/11/2021,1000,136
1105,F5/F23,206140,PKL WOOD FUEL ENTERPRISE,21000005,WOOD CHIP,01/11/2021,1500,136
1105,F5/F23,203121,K C DURAI SDN BHD,21000005,WOOD CHIP,01/11/2021,1000,139
1105,F5/F23,209863,HULK WOODS TRADING SDN BHD,21000005,WOOD CHIP,01/11/2021,1000,136
1105,F5/F23,211421,BVI ENTERPRISE,21000005,WOOD CHIP,01/11/2021,200,140
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000005,WOOD CHIP,01/11/2021,500,138
6336,F36,203602,LEAF ASSETS MANAGEMENT SDN BHD,21000005,WOOD CHIP,01/11/2021,300,129
6336,F36,208783,YONG TAT TIMBER AND TRADING,21000005,WOOD CHIP,01/11/2021,1500,123
6336,F36,201910,REDLAND WOOD INDUSTRIES SDN BHD,21000005,WOOD CHIP,01/11/2021,300,125
6336,F36,208817,TRANSLINK TRADING,21000005,WOOD CHIP,01/11/2021,100,115
6336,F36,209232,ZG TIMBER,21000005,WOOD CHIP,01/11/2021,1500,115
6336,F36,210122,HIAN YOON TIMBER INDUSTRIES SDN BHD,21000005,WOOD CHIP,01/11/2021,550,125
6336,F36,202388,TOP BIOMASS RESOURCES,21000005,WOOD CHIP,01/11/2021,1000,123
4027,F27,202388,TOP BIOMASS RESOURCES,21000005,WOOD CHIP,01/11/2021,1800,154
4027,F27,202598,WIN M TRADING,21000005,WOOD CHIP,01/11/2021,300,150
4027,F27,202368,TIEN CHUNG TRADING SDN BHD,21000005,WOOD CHIP,01/11/2021,5000,154
4027,F27,206527,VENUS RESOURCES SDN BHD,21000005,WOOD CHIP,01/11/2021,500,155
4027,F27,209671,LEONG HUAT BRICK WORKS SDN BHD,21000005,WOOD CHIP,01/11/2021,2000,150
4027,F27,210813,S&S BIOENERGY ENTERPRISE,21000005,WOOD CHIP,01/11/2021,500,150
4027,F27,201440,MAWAR SAKSAMA (M) SDN BHD,21000005,WOOD CHIP,01/11/2021,200,155
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000005,WOOD CHIP,01/11/2021,400,153
4033,F33,202598,WIN M TRADING,21000005,WOOD CHIP,01/11/2021,200,150
4033,F33,202388,TOP BIOMASS RESOURCES,21000005,WOOD CHIP,01/11/2021,500,154
4033,F33,202368,TIEN CHUNG TRADING SDN BHD,21000005,WOOD CHIP,01/11/2021,400,154
4033,F33,206793,MULTI BIO RESOURCES & SUPPLIES,21000005,WOOD CHIP,01/11/2021,150,153
6336,F36,208814,VILA SUTERA SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,01/11/2021,600,40
6336,F36,208812,HK GUA MUSANG SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,01/11/2021,2000,65
6336,F36,206793,MULTI BIO RESOURCES & SUPPLIES,21000001,EMPTY FRUIT BUNCH FIBER,01/11/2021,2000,56
6336,F36,202767,YMY GLOBAL TRADING,21000001,EMPTY FRUIT BUNCH FIBER,01/11/2021,1000,56
6336,F36,208815,TAN KOK TONG TRANSPORT & TRADING,21000001,EMPTY FRUIT BUNCH FIBER,01/11/2021,500,60
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000001,EMPTY FRUIT BUNCH FIBER,01/11/2021,500,37
4027,F27,209362,MEGA SENSASI JAYA SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,01/11/2021,300,34
4027,F27,205795,LUI SAWIT ENTERPRISE,21000001,EMPTY FRUIT BUNCH FIBER,01/11/2021,100,35
1105,F5/F23,204134,PDTC SDN BHD,21000004,PALM KERNEL SHELL,01/11/2021,700,248
